date,target_alloc,action,equity
2011-12-06,0.8,HOLD,2383956489.9865346
2011-12-07,0.8,HOLD,2387145560.0280385
2011-12-08,0.7000000000000001,TRADE,2289376009.62466
2011-12-09,1.0,TRADE,2365243848.706091
2011-12-12,0.4,TRADE,2288030252.0825944
2011-12-13,0.0,TRADE,2256883467.2342353
2011-12-14,0.0,HOLD,2256887794.0361876
2011-12-15,0.0,HOLD,2256892120.8087993
2011-12-16,0.0,HOLD,2256896447.5814114
2011-12-19,0.0,HOLD,2256909427.9581304
2011-12-20,0.4,TRADE,2256913754.7654796
2011-12-21,0.0,TRADE,2219179317.8049164
2011-12-22,0.1,TRADE,2219183572.278429
2011-12-23,0.5,TRADE,2224910033.6122594
2011-12-27,0.5,HOLD,2233373352.758357
2011-12-28,0.0,TRADE,2197605227.7291574
2011-12-29,0.1,TRADE,2197609440.841206
2011-12-30,0.1,HOLD,2195804500.599244
2012-01-03,1.0,TRADE,2208222401.9902883
2012-01-04,1.0,HOLD,2234849873.466896
2012-01-05,1.0,HOLD,2289343303.465534
2012-01-06,1.0,HOLD,2313493800.8512945
2012-01-09,1.0,HOLD,2293678008.124517
2012-01-10,1.0,HOLD,2340740515.850614
2012-01-11,1.0,HOLD,2357460090.963833
2012-01-12,1.0,HOLD,2385326049.4858637
2012-01-13,1.0,HOLD,2357460090.963833
2012-01-17,1.0,HOLD,2421242173.8031487
2012-01-18,1.0,HOLD,2517224919.8234777
2012-01-19,1.0,HOLD,2567383645.163134
2012-01-20,1.0,HOLD,2556237261.7543216
2012-01-23,1.0,HOLD,2556237261.7543216
2012-01-24,1.0,HOLD,2541994660.73195
2012-01-25,1.0,HOLD,2639215893.7977033
2012-01-26,1.0,HOLD,2610730691.7529597
2012-01-27,1.0,HOLD,2636738919.706856
2012-01-30,1.0,HOLD,2641073624.3658385
2012-01-31,1.0,HOLD,2650362277.2065153
2012-02-01,1.0,HOLD,2715382847.0912547
2012-02-02,1.0,HOLD,2743248805.613286
2012-02-03,1.0,HOLD,2852235665.6105633
2012-02-06,1.0,HOLD,2849758691.519716
2012-02-07,1.0,HOLD,2862143561.973952
2012-02-08,1.0,HOLD,2909825313.2227607
2012-02-09,1.0,HOLD,2974226639.5847883
2012-02-10,1.0,HOLD,2910444556.7454724
2012-02-13,1.0,HOLD,2989088484.129872
2012-02-14,1.0,HOLD,3015096712.0837674
2012-02-15,1.0,HOLD,2947599168.1081805
2012-02-16,1.0,HOLD,3070828629.1278296
2012-02-17,1.0,HOLD,3044820401.173934
2012-02-21,1.0,HOLD,3070828629.1278296
2012-02-22,1.0,HOLD,3029958556.6288505
