bull_ma,bull_mom,blend_lo,blend_w,riskon_rv,def_frac,lev,A_cagr,A_dd,A_calmar,B_cagr,B_dd,B_calmar
30,15,0.28,0.14,0.18,0.5,1.3,35.43,-49.54,0.715,44.03,-62.37,0.706
30,15,0.28,0.14,0.18,0.6666666666666666,1.0,35.7,-49.54,0.721,42.95,-56.42,0.761
30,15,0.28,0.14,0.18,0.6666666666666666,1.3,35.76,-49.54,0.722,44.49,-62.37,0.713
30,15,0.32,0.1,0.14,0.3333333333333333,1.0,33.76,-49.54,0.681,41.57,-48.05,0.865
30,15,0.32,0.1,0.14,0.3333333333333333,1.3,33.27,-49.54,0.672,44.33,-48.05,0.923
30,15,0.32,0.1,0.14,0.5,1.0,33.83,-49.54,0.683,41.47,-48.05,0.863
30,15,0.32,0.1,0.14,0.5,1.3,33.34,-49.54,0.673,44.23,-48.05,0.92
30,15,0.32,0.1,0.14,0.6666666666666666,1.0,33.47,-49.54,0.676,41.74,-48.05,0.869
30,15,0.32,0.1,0.14,0.6666666666666666,1.3,32.99,-49.54,0.666,44.5,-48.05,0.926
30,15,0.32,0.1,0.16,0.3333333333333333,1.0,35.4,-49.54,0.715,42.96,-51.22,0.839
30,15,0.32,0.1,0.16,0.3333333333333333,1.3,35.72,-49.54,0.721,45.42,-53.54,0.848
30,15,0.32,0.1,0.16,0.5,1.0,35.47,-49.54,0.716,42.86,-51.22,0.837
30,15,0.32,0.1,0.16,0.5,1.3,35.79,-49.54,0.722,45.32,-53.54,0.846
30,15,0.32,0.1,0.16,0.6666666666666666,1.0,35.11,-49.54,0.709,43.13,-51.22,0.842
30,15,0.32,0.1,0.16,0.6666666666666666,1.3,35.43,-49.54,0.715,45.59,-53.54,0.852
30,15,0.32,0.1,0.18,0.3333333333333333,1.0,35.18,-49.54,0.71,42.25,-56.42,0.749
30,15,0.32,0.1,0.18,0.3333333333333333,1.3,35.24,-49.54,0.711,43.79,-62.37,0.702
30,15,0.32,0.1,0.18,0.5,1.0,35.25,-49.54,0.712,42.15,-56.42,0.747
